Время; ЛинX; ЛинY; ЛинZ; УглX; УглY; УглZ; Крен; Тангаж; Рыск; Север; Восток; Высота; СигналGPS 
2021-03-26 18:28:09.359362;-0.20695334794058803;-0.200084414093397;9.865049590444537;0.0011026859284082563;-0.014553965594061037;0.002864003181622525;0.0;0.0;0.0;6187065.69;383136.022;1;EHT+108.966;
2021-03-26 18:28:10.187453;-0.21495418250560763;-0.19330358505249023;9.866446495056154;0.00024437901447527116;-0.011526049114763738;0.0003203749074600637;0.0;0.0;0.0;6187065.499;383136.14;1;EHT+107.822;
2021-03-26 18:28:11.187396;-0.22992956638336182;-0.18650321662425998;9.858562469482422;0.0010147691937163474;-0.0021815295331180096;-0.002500415081158281;0.0;0.0;0.0;6187068.975;383136.283;1;EHT+112.253;
2021-03-26 18:28:12.187343;-0.21922658383846286;-0.18905389308929443;9.835894584655763;0.0018268827116116884;-0.000591576099395752;-0.0055983662605285645;-1.07700777053833;1.3513109683990479;58.56641387939453;6187068.703;383136.131;1;EHT+112.707;
2021-03-26 18:28:13.187287;-0.236923485994339;-0.1738591194152832;9.768189430236818;0.002631545066833496;-0.0008463861304335297;-0.005048513878136874;-1.1203181743621826;1.2410697937011719;58.67425537109375;6187067.781;383136.433;1;EHT+111.151;
2021-03-26 18:28:14.187230;-0.19359989464282992;-0.1781146228313446;9.847795486450195;-0.004385410808026791;-0.00284016109071672;0.005398691166192294;-1.123493790626526;1.2369837760925293;58.672679901123054;6187067.633;383136.505;1;EHT+110.796;
2021-03-26 18:28:15.187176;-0.21368111670017245;-0.17950646579265597;9.83980941772461;-0.0005438924417831005;-0.001285969978198409;0.0006631016731262207;-1.0501545667648318;1.1255744695663454;58.829307556152344;6187070.357;383136.56;1;EHT+113.726;
2021-03-26 18:28:16.187119;-0.20572306215763095;-0.17946420609951022;9.83853530883789;-0.0007539986399933696;-0.002522766357287765;0.00016242264246102425;-1.0006407499313357;1.0022093057632449;58.81728744506837;6187071.219;383136.484;1;EHT+114.638;
2021-03-26 18:28:17.187065;-0.22303131222724915;-0.1931612193584442;9.834476470947266;0.0004649162583518774;-0.0037729740142822266;9.387730824528263e-05;-0.949834167957306;0.8707250356674194;58.79339981079102;6187069.723;383136.512;1;EHT+112.853;
2021-03-26 18:28:18.187006;-0.20852965116500854;-0.1848930269479752;9.821219444274904;0.0017881394596770408;0.0011414289474487305;-0.0030666592065244917;-0.9085509181022645;0.7674312591552734;58.76905059814453;6187071.157;383136.248;1;EHT+114.712;
2021-03-26 18:28:19.186955;-0.20173192024230957;-0.18072496354579928;9.819884300231935;-0.001505017629824579;-0.00403672456741333;-0.004957617726176978;-0.8505265712738037;0.6534054875373841;58.69601821899415;6187069.933;383136.011;1;EHT+113.091;
2021-03-26 18:28:20.186897;-0.2044590711593628;-0.16714686155319214;9.83590602874756;-0.0006839632405899466;-0.003550946246832609;0.002668797736987472;-0.8177710175514222;0.5864037275314331;58.62720108032227;6187069.321;383136.26;1;EHT+112.415;
2021-03-26 18:28:21.186841;-0.21385033428668979;-0.16582798957824707;9.845265388488771;0.0021919608116149902;-0.0037729742471128707;-0.004124641884118319;-0.7990756034851074;0.5257464051246644;58.58256149291993;6187069.754;383136.644;1;EHT+112.805;
2021-03-26 18:28:22.186788;-0.20171971619129184;-0.18082517385482788;9.839834213256836;-0.0011697415029630067;-0.0027641658671200275;0.004707276821136475;-0.7755231857299805;0.48190730810165405;58.517353057861335;6187067.965;383136.998;1;EHT+111.485;
2021-03-26 18:28:23.186732;-0.20024925470352173;-0.2040396481752396;9.837075233459474;0.0011608005734160545;-0.0033423304557800293;0.00044852495193481445;-0.7548645138740541;0.4580182433128357;58.474132537841804;6187068.558;383136.699;1;EHT+111.700;
2021-03-26 18:28:24.186675;-0.22463057935237887;-0.183616042137146;9.831948280334474;0.0020638108253479004;-0.0007525086402893066;-0.0018417836399748924;-0.7330244183540345;0.4348565042018891;58.427581787109375;6187069.099;383137.115;1;EHT+111.643;
